0 10 
0 1 
0 90 
1 0 
1 11 
1 91 
2 12 
2 3 
2 92 
3 2 
3 13 
3 93 
4 14 
4 5 
4 94 
5 4 
5 15 
5 6 
6 5 
6 16 
6 96 
7 17 
7 8 
7 97 
8 7 
8 18 
8 9 
9 8 
9 19 
9 99 
10 20 
10 11 
10 0 
11 10 
11 21 
11 1 
12 22 
12 13 
12 2 
13 12 
13 23 
13 3 
14 24 
14 15 
14 4 
15 14 
15 16 
15 5 
16 15 
16 26 
16 6 
17 27 
17 18 
17 7 
18 17 
18 19 
18 8 
19 18 
19 29 
19 9 
20 29 
20 21 
20 10 
21 20 
21 31 
21 11 
22 32 
22 23 
22 12 
23 22 
23 33 
23 13 
24 34 
24 25 
24 14 
25 24 
25 35 
25 26 
26 25 
26 36 
26 16 
27 37 
27 28 
27 17 
28 27 
28 38 
28 29 
29 28 
29 20 
29 19 
30 39 
30 40 
30 31 
31 30 
31 32 
31 21 
32 31 
32 42 
32 22 
33 43 
33 34 
33 23 
34 33 
34 35 
34 24 
35 34 
35 36 
35 25 
36 35 
36 37 
36 26 
37 36 
37 38 
37 27 
38 37 
38 39 
38 28 
39 38 
39 49 
39 30 
40 50 
40 41 
40 30 
41 40 
41 51 
41 42 
42 41 
42 52 
42 32 
43 53 
43 44 
43 33 
44 43 
44 54 
44 45 
45 44 
45 55 
45 46 
46 45 
46 56 
46 47 
47 46 
47 57 
47 48 
48 47 
48 58 
48 49 
49 48 
49 59 
49 39 
50 60 
50 51 
50 40 
51 50 
51 61 
51 41 
52 62 
52 53 
52 42 
53 52 
53 54 
53 43 
54 53 
54 55 
54 44 
55 54 
55 65 
55 45 
56 66 
56 57 
56 46 
57 56 
57 67 
57 47 
58 68 
58 59 
58 48 
59 58 
59 69 
59 49 
60 69 
60 61 
60 50 
61 60 
61 71 
61 51 
62 72 
62 63 
62 52 
63 62 
63 73 
63 64 
64 63 
64 74 
64 65 
65 64 
65 75 
65 55 
66 76 
66 67 
66 56 
67 66 
67 68 
67 57 
68 67 
68 69 
68 58 
69 68 
69 60 
69 59 
70 79 
70 80 
70 71 
71 70 
71 81 
71 61 
72 82 
72 73 
72 62 
73 72 
73 74 
73 63 
74 73 
74 84 
74 64 
75 85 
75 76 
75 65 
76 75 
76 77 
76 66 
77 76 
77 87 
77 78 
78 77 
78 88 
78 79 
79 78 
79 89 
79 70 
80 89 
80 90 
80 70 
81 91 
81 82 
81 71 
82 81 
82 83 
82 72 
83 82 
83 93 
83 84 
84 83 
84 94 
84 74 
85 95 
85 86 
85 75 
86 85 
86 96 
86 87 
87 86 
87 97 
87 77 
88 98 
88 89 
88 78 
89 88 
89 80 
89 79 
90 99 
90 0 
90 80 
91 1 
91 92 
91 81 
92 91 
92 2 
92 93 
93 92 
93 3 
93 83 
94 4 
94 95 
94 84 
95 94 
95 96 
95 85 
96 95 
96 6 
96 86 
97 7 
97 98 
97 87 
98 97 
98 99 
98 88 
99 98 
99 9 
99 90 
